"year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","m0","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30","m31","m32","m33","m34","m35","m36","m37","m38","m39","m40"
2005,7,1,3,2,2,-1,-1,8.624,0,0,0,0,0,0,8.1923,14.0052,13.059,1.068,1.068,0,0,0,1.068,0,0,0,0,0,0,1.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7308,20.6565,10.3282,8.1923,3.7987,3.7987,0,2.7308,0,2.7308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,1,3,2,2,-1,-1,29.044,0,0,0,0,0,1.0164,22.0124,47.8916,31.3196,38.3524,12.8728,11.496,6.8996,3.0164,6.916,8.4364,2.5,2.92,2.92,0,0,0,0,0,2.5164,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8.5164,22.9816,13,8.0124,18.18,4.4796,11.9592,3.0164,3.5328,4.996,5.9592,1.0164,2.9796,2,2.92,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007,7,1,3,2,2,-1,-1,76.646,0,0,0,0,0,0,6.348,35.0786,47.2458,76.9793,155.2355,44.8724,21.9066,30.701,28.5279,24.2039,19.1223,7.7888,2,11.2285,4.3944,0,3.3297,0,3.3297,0,0,0,0,0,2.3297,0,0,0,0,0,0,0,0,0,2.3297,0,0,0,0,0,0,6.4032,23.3029,41.8273,79.6689,20.8145,27.7442,24.6609,14.9265,9.9523,13.3352,2,0,3.3297,8.9891,0,2.3297,2.8081,0,0,6.9891,2.3297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,1,3,2,2,-1,-1,77.266,0,0,0,0,0,0,6.9007,2.9906,25.1562,18.489,40.7054,25.9132,19.2339,17.5826,15.1093,17.6114,12.5253,18.3884,16.1177,13.1249,7.8824,9.2973,7.1123,5.6734,1.0196,3.0196,1.0839,3.2206,0,2.1804,1,2.1679,0,0,0,0,1,0,0,1.0133,1.0839,0,0,0,0,0,0,1.3974,5.0994,30.5085,32.6773,32.7886,27.9755,14.3856,21.6115,11.7295,9.4729,1,0,0,1.0839,5.0206,0,3.417,1,1.0643,0,3.1628,1.0196,1.2206,1.2206,0,0,1.0839,0,0,0,1.0839,0,0,0,0
2009,7,1,3,2,2,-1,-1,90.958,0,0,0,0,0,1.3707,2.2516,10.2559,2.6152,21.3474,346.4398,50.2375,30.6916,25.2283,22.2989,22.7545,19.474,9.1096,12.0805,7.7248,11.1813,7.1977,4.0458,5.4272,2.2817,2.836,5.18,0,0,0,2.2516,1.2472,0,0,0,0,0,0,2.5373,0,0,0,0,0,0,0,1.3707,1,6.5577,21.377,31.377,75.5489,42.882,36.9932,28.9451,23.2597,16.5469,8.0993,5.8521,1.6152,5.3861,2.6869,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0127,0,0
2010,7,1,3,2,2,-1,-1,75.23,0,0,0,0,0,0,0,17.7456,28.8949,5,86.8014,97.5956,77.5621,86.0094,79.1007,48.8589,86.0671,12.7301,50.9232,8.7835,8.6138,20.2872,20.2872,53.4408,20.6499,20.2872,0,0,0,3.7105,16.5768,33.1536,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.9144,19.1914,46.4975,13.8645,91.6113,160.7482,55.2562,36.9632,29.4902,39.8274,9.339,45.352,24.7229,49.7303,53.8034,0,4.0731,16.5768,0,0,0,0,0,0,0,0,0,0,16.5768,0,0,0,0,0,3.7105
2011,7,1,3,2,1,-1,-1,32.01,0,0,0,0,0,16.1219,0,41.4568,23.5493,16.1219,8.1924,10.4615,8.4329,13.4372,9.7024,7.4274,9.3646,6.1823,1,1,3.0911,3.0911,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.6828,0,14.8551,48.0119,29.329,9.7373,3.1764,16.567,4.1823,5.2675,7.2734,1,11.541,0,2.0911,1.0726,0,0,2.0911,0,2.0911,0,2.0911,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,1,3,2,1,-1,-1,34.114,0,0,0,0,0,0,10.1794,1.2371,268.975,495.958,4.7456,276.1982,289.7161,15.5697,276.7148,501.0363,15.5753,4.0783,10.5582,1.0342,0,1.2371,3.1626,1.2371,0,6.3614,0,0,0,0,2.8412,244.7955,0,6.3614,0,0,0,0,0,0,0,0,0,0,0,0,0,495.1123,2.2713,5.7584,14.9713,6.3614,45.5465,530.7346,34.2418,28.1165,6.3671,7.2408,244.7955,244.7955,247.6366,0,0,1.0342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3614
2013,7,1,3,2,1,-1,-1,37.808,0,0,0,0,0,135.1681,18.9686,234.3966,123.4909,128.2474,44.7227,49.5992,256.2221,97.6323,125.8624,93.7558,104.5011,37.0858,45.7272,13.1335,30.1284,2.4149,2.4149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4149,0,0,0,0,0,178.8909,108.414,239.162,62.6274,141.2328,44.7227,20.9235,60.8041,147.1283,68.9902,55.628,9.036,19.3311,45.7272,0,1.3362,2.6724,0,0,20.3048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,1,3,2,1,-1,-1,25.596,0,0,0,0,3.674,0,31.0757,116.1114,180.4814,115.4324,7.2088,78.0709,112.9349,0,176.8075,5.1765,35.3615,0,0,106.0845,106.0845,35.3615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.674,0,105.6614,21.5563,127.1333,92.2524,154.6224,39.3615,3.1765,80.723,39.3615,37.3615,42.538,2,35.3615,3.674,35.3615,0,2,0,0,0,70.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,1,3,2,1,-1,-1,42.976,0,0,0,0,2.3531,9.2253,47.9577,122.1957,134.0508,165.9521,207.0691,177.1333,213.7957,314.5043,114.3912,89.1069,101.3598,49.2634,51.3278,24.6317,115.3912,87.0931,0,0,0,22.6173,22.6173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6173,251.3404,160.3382,78.6841,215.8163,143.8281,92.1922,200.8823,400.5063,49.3133,430.2151,26.696,24.6317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,1,3,2,1,-1,-1,34.528,0,0,0,4.9345,0,4.9345,4.9345,160.4258,151.9669,181.7876,162.1095,226.9287,117.9139,102.1609,7.5199,74.4263,13.569,467.0163,54.4251,14.4535,29.0919,0,5.3688,1.7647,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3688,0,0,0,0,0,0,0,0,0,0,68.8786,211.805,51.8,61.7509,17.8571,68.783,97.6597,14.4535,54.4251,148.0635,114.6728,6.4215,8.5865,29.0919,1.7647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,1,3,2,1,-1,-1,64.842,0,0,0,65.2021,1015.4649,0,115.8324,147.5461,2865.0898,4825.8876,1535.7879,1318.1107,666.2214,19.2396,305.9016,717.1531,1190.93,300,1960.3135,300,348.062,143.6399,121.9745,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.8083,715.8324,300,42.1604,649.1256,2488.306,4654.672,1231.0428,1325.5347,540.21,1321.522,600,13.6711,633.6585,786.4484,1758.4597,23.7985,42.1604,5.9016,0,20.5852,0,300,0,0,0,0,12.4741,0,0,0,0,0,0,0,0,0,0
2018,7,1,3,2,1,-1,-1,55.874,0,0,0,0,8.0635,39.4111,13.4034,15.466,139.0919,20.445,52.5171,3.0053,4.0187,1.0099,30.0578,5.4995,2.0099,7.0614,1,22.4637,0,1.0099,3.0088,1.0099,1.0088,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4.4995,0,0,0,0,7.0317,74.0733,1.0061,0,77.0721,5.1966,32.8745,0,7.037,0,3.0122,2.0133,0,0,1.1111,45.2519,1.0099,0,3.0187,0,0,0,2.0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,1,3,2,1,-1,-1,3.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.057,0,1.057,1.0579,0,2.1149,0,1.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0579,0,0,0,0,0,0,0,1.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,1,0,2,2,-1,-1,1.69,0,0,0,0,0,0,0,0,0,8.36,0,0,0,4.18,0,4.18,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,1,0,2,1,-1,-1,1.276,0,0,0,0,0,13.1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
